"H_cumul"	"Traitement"	"BAC"	"Individu"	"Ligne"	"variable"	"hauteur"	"nb_feuille"	"Nb_cotyledon"	"Nb_Tige"	"Developpement"	"Jour"
"59"	142	"IRD_012022"	"1"	"AS136"	"L4"	"C1"	NA	NA	2	NA	"ANC"	6
"60"	142	"IRD_012022"	"1"	"AS146"	"T"	"C1"	NA	NA	2	NA	"ANC"	6
"61"	168	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	NA	NA	2	NA	"ANC"	7
"62"	168	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	2	NA	"ANC"	7
"63"	168	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	NA	NA	2	NA	"D"	7
"64"	168	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	NA	NA	2	NA	"ANC"	7
"65"	168	"IRD_012022"	"1"	"AS141"	"T"	"C1"	NA	NA	2	NA	"ANC"	7
"66"	232	"IRD_012022"	"1"	"AS121"	"L1"	"C1"	NA	NA	2	NA	"ANC"	10
"67"	232	"IRD_012022"	"1"	"AS126"	"L2"	"C1"	NA	NA	2	NA	"ANC"	10
"68"	232	"IRD_012022"	"1"	"AS131"	"L3"	"C1"	NA	NA	2	NA	"D"	10
"69"	232	"IRD_012022"	"1"	"AS136"	"L4"	"C1"	NA	NA	2	NA	"D"	10
"70"	232	"IRD_012022"	"1"	"AS146"	"T"	"C1"	NA	NA	2	NA	"D"	10
"71"	19	"IRD_012022"	"2"	"AS101"	"L1"	"C1"	NA	NA	2	NA	"ANC"	1
"72"	19	"IRD_012022"	"2"	"AS106"	"L2"	"C1"	NA	NA	2	NA	"AR"	1
"73"	19	"IRD_012022"	"2"	"AS111"	"L3"	"C1"	NA	NA	2	NA	"AR"	1
"74"	19	"IRD_012022"	"2"	"AS116"	"L4"	"C1"	NA	NA	2	NA	"ANC"	1
"75"	19	"IRD_012022"	"2"	"AS141"	"T"	"C1"	NA	NA	2	NA	"AR"	1
"76"	24	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	NA	NA	2	NA	"ANC"	1
"77"	24	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	NA	NA	2	NA	"AR"	1
"78"	24	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	NA	NA	2	NA	"ANC"	1
"79"	24	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	NA	NA	2	NA	"ANC"	1
"80"	24	"IRD_012022"	"2"	"AS146"	"T"	"C1"	NA	NA	2	NA	"ANC"	1
"81"	41	"IRD_012022"	"2"	"AS101"	"L1"	"C1"	NA	NA	2	NA	"ANC"	2
"82"	41	"IRD_012022"	"2"	"AS106"	"L2"	"C1"	NA	NA	2	NA	"ANC"	2
"83"	41	"IRD_012022"	"2"	"AS111"	"L3"	"C1"	NA	NA	2	NA	"ANC"	2
"84"	41	"IRD_012022"	"2"	"AS116"	"L4"	"C1"	NA	NA	2	NA	"ANC"	2
"85"	41	"IRD_012022"	"2"	"AS141"	"T"	"C1"	NA	NA	2	NA	"ANC"	2
"86"	48	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	NA	NA	2	NA	"ANC"	2
"87"	48	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	NA	NA	2	NA	"ANC"	2
"88"	48	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	NA	NA	2	NA	"ANC"	2
"89"	48	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	NA	NA	2	NA	"ANC"	2
"90"	48	"IRD_012022"	"2"	"AS146"	"T"	"C1"	NA	NA	2	NA	"ANC"	2
"91"	69	"IRD_012022"	"2"	"AS101"	"L1"	"C1"	NA	NA	2	NA	"ANC"	3
"92"	69	"IRD_012022"	"2"	"AS106"	"L2"	"C1"	NA	NA	2	NA	"ANC"	3
"93"	69	"IRD_012022"	"2"	"AS111"	"L3"	"C1"	NA	NA	2	NA	"ANC"	3
"94"	69	"IRD_012022"	"2"	"AS116"	"L4"	"C1"	NA	NA	2	NA	"ANC"	3
"95"	69	"IRD_012022"	"2"	"AS141"	"T"	"C1"	NA	NA	2	NA	"ANC"	3
"96"	72	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	NA	NA	2	NA	"ANC"	3
"97"	72	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	NA	NA	2	NA	"ANC"	3
"98"	72	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	NA	NA	2	NA	"ANC"	3
"99"	72	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	NA	NA	2	NA	"ANC"	3
"100"	72	"IRD_012022"	"2"	"AS146"	"T"	"C1"	NA	NA	2	NA	"ANC"	3
"101"	89	"IRD_012022"	"2"	"AS101"	"L1"	"C1"	NA	NA	2	NA	"ANC"	4
"102"	89	"IRD_012022"	"2"	"AS106"	"L2"	"C1"	NA	NA	2	NA	"ANC"	4
"103"	89	"IRD_012022"	"2"	"AS111"	"L3"	"C1"	NA	NA	2	NA	"ANC"	4
"104"	89	"IRD_012022"	"2"	"AS116"	"L4"	"C1"	NA	NA	2	NA	"ANC"	4
"105"	89	"IRD_012022"	"2"	"AS141"	"T"	"C1"	NA	NA	2	NA	"ANC"	4
"106"	96	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	NA	NA	2	NA	"ANC"	4
"107"	96	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	NA	NA	2	NA	"ANC"	4
"108"	96	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	NA	NA	2	NA	"ANC"	4
"109"	96	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	NA	NA	2	NA	"ANC"	4
"110"	96	"IRD_012022"	"2"	"AS146"	"T"	"C1"	NA	NA	2	NA	"ANC"	4
"111"	118	"IRD_012022"	"2"	"AS101"	"L1"	"C1"	NA	NA	2	NA	"ANC"	5
"112"	118	"IRD_012022"	"2"	"AS106"	"L2"	"C1"	NA	NA	2	NA	"ANC"	5
"113"	118	"IRD_012022"	"2"	"AS111"	"L3"	"C1"	NA	NA	2	NA	"D"	5
"114"	118	"IRD_012022"	"2"	"AS116"	"L4"	"C1"	NA	NA	2	NA	"D"	5
"115"	118	"IRD_012022"	"2"	"AS141"	"T"	"C1"	NA	NA	2	NA	"ANC"	5
"116"	142	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	NA	NA	2	NA	"D"	6
"117"	142	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	NA	NA	2	NA	"D"	6
"118"	142	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	NA	NA	2	NA	"D"	6
"119"	142	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	NA	NA	2	NA	"D"	6
"120"	142	"IRD_012022"	"2"	"AS146"	"T"	"C1"	NA	NA	2	NA	"ANC"	6
"121"	168	"IRD_012022"	"2"	"AS101"	"L1"	"C1"	NA	NA	2	NA	"D"	7
"122"	168	"IRD_012022"	"2"	"AS106"	"L2"	"C1"	NA	NA	2	NA	"D"	7
"123"	168	"IRD_012022"	"2"	"AS111"	"L3"	"C1"	NA	NA	2	NA	"D"	7
"124"	168	"IRD_012022"	"2"	"AS116"	"L4"	"C1"	NA	NA	2	NA	"D"	7
"125"	168	"IRD_012022"	"2"	"AS141"	"T"	"C1"	NA	NA	2	NA	"D"	7
"126"	232	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	NA	NA	2	NA	"D"	10
"127"	232	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	NA	NA	2	NA	"D"	10
"128"	232	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	NA	NA	2	NA	"D"	10
"129"	232	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	NA	NA	2	NA	"D"	10
"130"	232	"IRD_012022"	"2"	"AS146"	"T"	"C1"	NA	NA	2	NA	"D"	10
"131"	239	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	NA	NA	2	NA	"ANC"	10
"132"	239	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	2	NA	"ANC"	10
"133"	239	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	58	NA	2	NA	"D"	10
"134"	239	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	NA	NA	2	NA	"ANC"	10
"135"	239	"IRD_012022"	"1"	"AS141"	"T"	"C1"	NA	NA	2	NA	"ANC"	10
"136"	239	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	68	NA	2	NA	"D"	10
"137"	239	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	68	NA	2	NA	"D"	10
"138"	239	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	73	NA	2	NA	"D"	10
"139"	239	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	53	NA	2	NA	"D"	10
"140"	239	"IRD_012022"	"2"	"AS146"	"T"	"C1"	53	NA	2	NA	"D"	10
"141"	263	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	NA	NA	2	NA	"ANC"	11
"142"	263	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	2	NA	"ANC"	11
"143"	263	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	68	NA	2	NA	"D"	11
"144"	263	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	NA	NA	2	NA	"ANC"	11
"145"	263	"IRD_012022"	"1"	"AS141"	"T"	"C1"	NA	NA	2	NA	"ANC"	11
