"H_cumul"	"Traitement"	"BAC"	"Individu"	"Ligne"	"variable"	"hauteur"	"nb_feuille"	"Nb_cotyledon"	"Nb_Tige"	"Developpement"	"Jour"
"263"	671	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	159	10	2	3	"D"	28
"264"	671	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	146	6	2	1	"D"	28
"265"	671	"IRD_012022"	"1"	"AS141"	"T"	"C1"	169	4	2	1	"D"	28
"266"	671	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	191	4	2	1	"D"	28
"267"	671	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	145	7	0	1	"D"	28
"268"	671	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	194	7	2	1	"D"	28
"269"	671	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	114	6	2	3	"D"	28
"270"	671	"IRD_012022"	"2"	"AS146"	"T"	"C1"	132	6	2	3	"D"	28
"271"	743	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	177	4	2	1	"D"	31
"272"	743	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	NA	1	NA	31
"273"	743	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	178	14	2	3	"D"	31
"274"	743	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	168	8	2	1	"D"	31
"275"	743	"IRD_012022"	"1"	"AS141"	"T"	"C1"	191	4	2	1	"D"	31
"276"	743	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	208	4	2	1	"D"	31
"277"	743	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	165	9	2	1	"D"	31
"278"	743	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	208	4	2	1	"D"	31
"279"	743	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	119	8	2	3	"D"	31
"280"	743	"IRD_012022"	"2"	"AS146"	"T"	"C1"	140	6	2	3	"D"	31
"281"	767	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	177	4	2	1	"D"	32
"282"	767	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	NA	1	NA	32
"283"	767	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	182	12	2	3	"D"	32
"284"	767	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	171	8	2	1	"D"	32
"285"	767	"IRD_012022"	"1"	"AS141"	"T"	"C1"	195	4	2	1	"D"	32
"286"	767	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	222	4	2	1	"D"	32
"287"	767	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	166	9	0	1	"D"	32
"288"	767	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	128	7	0	1	"D"	32
"289"	767	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	119	8	2	3	"D"	32
"290"	767	"IRD_012022"	"2"	"AS146"	"T"	"C1"	144	4	2	3	"D"	32
"291"	836	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	206	4	2	1	"D"	35
"292"	836	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	NA	1	NA	35
"293"	836	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	191	14	2	3	"D"	35
"294"	836	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	183	14	2	1	"D"	35
"295"	836	"IRD_012022"	"1"	"AS141"	"T"	"C1"	206	6	2	1	"D"	35
"296"	836	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	227	12	2	1	"D"	35
"297"	836	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	183	9	0	1	"D"	35
"298"	836	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	226	9	0	1	"D"	35
"299"	836	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	122	8	2	3	"D"	35
"300"	836	"IRD_012022"	"2"	"AS146"	"T"	"C1"	151	6	2	3	"D"	35
"301"	911	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	228	4	2	1	"D"	38
"302"	911	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	NA	1	NA	38
"303"	911	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	211	16	2	3	"D"	38
"304"	911	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	205	13	0	1	"D"	38
"305"	911	"IRD_012022"	"1"	"AS141"	"T"	"C1"	222	10	2	1	"D"	38
"306"	911	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	254	12	2	1	"D"	38
"307"	911	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	209	11	0	1	"D"	38
"308"	911	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	252	11	0	1	"D"	38
"309"	911	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	132	8	0	3	"D"	38
"310"	911	"IRD_012022"	"2"	"AS146"	"T"	"C1"	159	9	2	3	"D"	38
"311"	0	"IRD_012022"	"1"	"AS102"	"L1"	"C2"	0	NA	2	NA	"TE"	0
"312"	0	"IRD_012022"	"1"	"AS107"	"L2"	"C2"	0	NA	2	NA	"TE"	0
"313"	0	"IRD_012022"	"1"	"AS112"	"L3"	"C2"	0	NA	2	NA	"TE"	0
"314"	0	"IRD_012022"	"1"	"AS117"	"L4"	"C2"	0	NA	2	NA	"TE"	0
"315"	0	"IRD_012022"	"1"	"AS142"	"T"	"C2"	0	NA	2	NA	"TE"	0
"316"	0	"IRD_012022"	"2"	"AS122"	"L1"	"C2"	0	NA	2	NA	NA	0
"317"	0	"IRD_012022"	"2"	"AS127"	"L2"	"C2"	0	NA	2	NA	"AR"	0
"318"	0	"IRD_012022"	"2"	"AS132"	"L3"	"C2"	0	NA	2	NA	"AR"	0
"319"	0	"IRD_012022"	"2"	"AS137"	"L4"	"C2"	0	NA	2	NA	"AR"	0
"320"	0	"IRD_012022"	"2"	"AS147"	"T"	"C2"	0	NA	2	NA	"AR"	0
"321"	19	"IRD_012022"	"1"	"AS102"	"L1"	"C2"	NA	NA	2	NA	"TE"	1
"322"	19	"IRD_012022"	"1"	"AS107"	"L2"	"C2"	NA	NA	2	NA	"TE"	1
"323"	19	"IRD_012022"	"1"	"AS112"	"L3"	"C2"	NA	NA	2	NA	"TE"	1
"324"	19	"IRD_012022"	"1"	"AS117"	"L4"	"C2"	NA	NA	2	NA	"TE"	1
"325"	19	"IRD_012022"	"1"	"AS142"	"T"	"C2"	NA	NA	2	NA	"TE"	1
"326"	24	"IRD_012022"	"1"	"AS122"	"L1"	"C2"	NA	NA	2	NA	"TE"	1
"327"	24	"IRD_012022"	"1"	"AS127"	"L2"	"C2"	NA	NA	2	NA	"OT"	1
"328"	24	"IRD_012022"	"1"	"AS132"	"L3"	"C2"	NA	NA	2	NA	"TE"	1
"329"	24	"IRD_012022"	"1"	"AS137"	"L4"	"C2"	NA	NA	2	NA	"TE"	1
"330"	24	"IRD_012022"	"1"	"AS147"	"T"	"C2"	NA	NA	2	NA	"TE"	1
"331"	41	"IRD_012022"	"1"	"AS102"	"L1"	"C2"	NA	NA	2	NA	"TE"	2
"332"	41	"IRD_012022"	"1"	"AS107"	"L2"	"C2"	NA	NA	2	NA	"ST"	2
"333"	41	"IRD_012022"	"1"	"AS112"	"L3"	"C2"	NA	NA	2	NA	"OT"	2
"334"	41	"IRD_012022"	"1"	"AS117"	"L4"	"C2"	NA	NA	2	NA	"TE"	2
"335"	41	"IRD_012022"	"1"	"AS142"	"T"	"C2"	NA	NA	2	NA	"TE"	2
"336"	48	"IRD_012022"	"1"	"AS122"	"L1"	"C2"	NA	NA	2	NA	"TE"	2
"337"	48	"IRD_012022"	"1"	"AS127"	"L2"	"C2"	NA	NA	2	NA	"ST"	2
"338"	48	"IRD_012022"	"1"	"AS132"	"L3"	"C2"	NA	NA	2	NA	"ST"	2
"339"	48	"IRD_012022"	"1"	"AS137"	"L4"	"C2"	NA	NA	2	NA	"TE"	2
"340"	48	"IRD_012022"	"1"	"AS147"	"T"	"C2"	NA	NA	2	NA	"TE"	2
"341"	69	"IRD_012022"	"1"	"AS102"	"L1"	"C2"	NA	NA	2	NA	"AR"	3
"342"	69	"IRD_012022"	"1"	"AS107"	"L2"	"C2"	NA	NA	2	NA	"ANC"	3
"343"	69	"IRD_012022"	"1"	"AS112"	"L3"	"C2"	NA	NA	2	NA	"AR"	3
"344"	69	"IRD_012022"	"1"	"AS117"	"L4"	"C2"	NA	NA	2	NA	"ST"	3
"345"	69	"IRD_012022"	"1"	"AS142"	"T"	"C2"	NA	NA	2	NA	"TE"	3
"346"	72	"IRD_012022"	"1"	"AS122"	"L1"	"C2"	NA	NA	2	NA	"AR"	3
"347"	72	"IRD_012022"	"1"	"AS127"	"L2"	"C2"	NA	NA	2	NA	"ANC"	3
"348"	72	"IRD_012022"	"1"	"AS132"	"L3"	"C2"	NA	NA	2	NA	"ANC"	3
"349"	72	"IRD_012022"	"1"	"AS137"	"L4"	"C2"	NA	NA	2	NA	"AR"	3
"350"	72	"IRD_012022"	"1"	"AS147"	"T"	"C2"	NA	NA	2	NA	"TE"	3
"351"	89	"IRD_012022"	"1"	"AS102"	"L1"	"C2"	NA	NA	2	NA	"AR"	4
"352"	89	"IRD_012022"	"1"	"AS107"	"L2"	"C2"	NA	NA	2	NA	"ANC"	4
"353"	89	"IRD_012022"	"1"	"AS112"	"L3"	"C2"	NA	NA	2	NA	"ANC"	4
"354"	89	"IRD_012022"	"1"	"AS117"	"L4"	"C2"	NA	NA	2	NA	"ANC"	4
"355"	89	"IRD_012022"	"1"	"AS142"	"T"	"C2"	NA	NA	2	NA	"TE"	4
"356"	96	"IRD_012022"	"1"	"AS122"	"L1"	"C2"	NA	NA	2	NA	"AR"	4
"357"	96	"IRD_012022"	"1"	"AS127"	"L2"	"C2"	NA	NA	2	NA	"ANC"	4
"358"	96	"IRD_012022"	"1"	"AS132"	"L3"	"C2"	NA	NA	2	NA	"ANC"	4
"359"	96	"IRD_012022"	"1"	"AS137"	"L4"	"C2"	NA	NA	2	NA	"ANC"	4
"360"	96	"IRD_012022"	"1"	"AS147"	"T"	"C2"	NA	NA	2	NA	"TE"	4
"361"	118	"IRD_012022"	"1"	"AS102"	"L1"	"C2"	NA	NA	2	NA	"ANC"	5
"362"	118	"IRD_012022"	"1"	"AS107"	"L2"	"C2"	NA	NA	2	NA	"ANC"	5
"363"	118	"IRD_012022"	"1"	"AS112"	"L3"	"C2"	NA	NA	2	NA	"ANC"	5
"364"	118	"IRD_012022"	"1"	"AS117"	"L4"	"C2"	NA	NA	2	NA	"ANC"	5
"365"	118	"IRD_012022"	"1"	"AS142"	"T"	"C2"	NA	NA	2	NA	"TE"	5
"366"	142	"IRD_012022"	"1"	"AS122"	"L1"	"C2"	NA	NA	2	NA	"ANC"	6
"367"	142	"IRD_012022"	"1"	"AS127"	"L2"	"C2"	NA	NA	2	NA	"ANC"	6
"368"	142	"IRD_012022"	"1"	"AS132"	"L3"	"C2"	NA	NA	2	NA	"ANC"	6
"369"	142	"IRD_012022"	"1"	"AS137"	"L4"	"C2"	NA	NA	2	NA	"ANC"	6
"370"	142	"IRD_012022"	"1"	"AS147"	"T"	"C2"	NA	NA	2	NA	"ST"	6
"371"	168	"IRD_012022"	"1"	"AS102"	"L1"	"C2"	NA	NA	2	NA	"ANC"	7
"372"	168	"IRD_012022"	"1"	"AS107"	"L2"	"C2"	NA	NA	2	NA	"ANC"	7
"373"	168	"IRD_012022"	"1"	"AS112"	"L3"	"C2"	NA	NA	2	NA	"ANC"	7
"374"	168	"IRD_012022"	"1"	"AS117"	"L4"	"C2"	NA	NA	2	NA	"ANC"	7
"375"	168	"IRD_012022"	"1"	"AS142"	"T"	"C2"	NA	NA	2	NA	"AR"	7
"376"	232	"IRD_012022"	"1"	"AS122"	"L1"	"C2"	NA	NA	2	NA	"D"	10
"377"	232	"IRD_012022"	"1"	"AS127"	"L2"	"C2"	NA	NA	2	NA	"ANC"	10
"378"	232	"IRD_012022"	"1"	"AS132"	"L3"	"C2"	NA	NA	2	NA	"D"	10
"379"	232	"IRD_012022"	"1"	"AS137"	"L4"	"C2"	NA	NA	2	NA	"ANC"	10
"380"	232	"IRD_012022"	"1"	"AS147"	"T"	"C2"	NA	NA	2	NA	"D"	10
"381"	19	"IRD_012022"	"2"	"AS102"	"L1"	"C2"	NA	NA	2	NA	NA	1
"382"	19	"IRD_012022"	"2"	"AS107"	"L2"	"C2"	NA	NA	2	NA	"AR"	1
"383"	19	"IRD_012022"	"2"	"AS112"	"L3"	"C2"	NA	NA	2	NA	"AR"	1
"384"	19	"IRD_012022"	"2"	"AS117"	"L4"	"C2"	NA	NA	2	NA	"ANC"	1
"385"	19	"IRD_012022"	"2"	"AS142"	"T"	"C2"	NA	NA	2	NA	"AR"	1
"386"	24	"IRD_012022"	"2"	"AS122"	"L1"	"C2"	NA	NA	2	NA	NA	1
"387"	24	"IRD_012022"	"2"	"AS127"	"L2"	"C2"	NA	NA	2	NA	"ANC"	1
"388"	24	"IRD_012022"	"2"	"AS132"	"L3"	"C2"	NA	NA	2	NA	"ANC"	1
"389"	24	"IRD_012022"	"2"	"AS137"	"L4"	"C2"	NA	NA	2	NA	"ANC"	1
"390"	24	"IRD_012022"	"2"	"AS147"	"T"	"C2"	NA	NA	2	NA	"AR"	1
"391"	41	"IRD_012022"	"2"	"AS102"	"L1"	"C2"	NA	NA	2	NA	NA	2
"392"	41	"IRD_012022"	"2"	"AS107"	"L2"	"C2"	NA	NA	2	NA	"ANC"	2
"393"	41	"IRD_012022"	"2"	"AS112"	"L3"	"C2"	NA	NA	2	NA	"ANC"	2
"394"	41	"IRD_012022"	"2"	"AS117"	"L4"	"C2"	NA	NA	2	NA	"ANC"	2
"395"	41	"IRD_012022"	"2"	"AS142"	"T"	"C2"	NA	NA	2	NA	"ANC"	2
"396"	48	"IRD_012022"	"2"	"AS122"	"L1"	"C2"	NA	NA	2	NA	NA	2
"397"	48	"IRD_012022"	"2"	"AS127"	"L2"	"C2"	NA	NA	2	NA	"ANC"	2
"398"	48	"IRD_012022"	"2"	"AS132"	"L3"	"C2"	NA	NA	2	NA	"ANC"	2
"399"	48	"IRD_012022"	"2"	"AS137"	"L4"	"C2"	NA	NA	2	NA	"ANC"	2
"400"	48	"IRD_012022"	"2"	"AS147"	"T"	"C2"	NA	NA	2	NA	"ANC"	2
"401"	69	"IRD_012022"	"2"	"AS102"	"L1"	"C2"	NA	NA	2	NA	NA	3
"402"	69	"IRD_012022"	"2"	"AS107"	"L2"	"C2"	NA	NA	2	NA	"ANC"	3
"403"	69	"IRD_012022"	"2"	"AS112"	"L3"	"C2"	NA	NA	2	NA	"ANC"	3
"404"	69	"IRD_012022"	"2"	"AS117"	"L4"	"C2"	NA	NA	2	NA	"ANC"	3
"405"	69	"IRD_012022"	"2"	"AS142"	"T"	"C2"	NA	NA	2	NA	"ANC"	3
"406"	72	"IRD_012022"	"2"	"AS122"	"L1"	"C2"	NA	NA	2	NA	NA	3
"407"	72	"IRD_012022"	"2"	"AS127"	"L2"	"C2"	NA	NA	2	NA	"ANC"	3
"408"	72	"IRD_012022"	"2"	"AS132"	"L3"	"C2"	NA	NA	2	NA	"ANC"	3
"409"	72	"IRD_012022"	"2"	"AS137"	"L4"	"C2"	NA	NA	2	NA	"ANC"	3
"410"	72	"IRD_012022"	"2"	"AS147"	"T"	"C2"	NA	NA	2	NA	"ANC"	3
"411"	89	"IRD_012022"	"2"	"AS102"	"L1"	"C2"	NA	NA	2	NA	NA	4
"412"	89	"IRD_012022"	"2"	"AS107"	"L2"	"C2"	NA	NA	2	NA	"ANC"	4
"413"	89	"IRD_012022"	"2"	"AS112"	"L3"	"C2"	NA	NA	2	NA	"ANC"	4
"414"	89	"IRD_012022"	"2"	"AS117"	"L4"	"C2"	NA	NA	2	NA	"ANC"	4
"415"	89	"IRD_012022"	"2"	"AS142"	"T"	"C2"	NA	NA	2	NA	"ANC"	4
"416"	96	"IRD_012022"	"2"	"AS122"	"L1"	"C2"	NA	NA	2	NA	NA	4
"417"	96	"IRD_012022"	"2"	"AS127"	"L2"	"C2"	NA	NA	2	NA	"ANC"	4
"418"	96	"IRD_012022"	"2"	"AS132"	"L3"	"C2"	NA	NA	2	NA	"ANC"	4
"419"	96	"IRD_012022"	"2"	"AS137"	"L4"	"C2"	NA	NA	2	NA	"D"	4
"420"	96	"IRD_012022"	"2"	"AS147"	"T"	"C2"	NA	NA	2	NA	"ANC"	4
"421"	118	"IRD_012022"	"2"	"AS102"	"L1"	"C2"	NA	NA	2	NA	NA	5
"422"	118	"IRD_012022"	"2"	"AS107"	"L2"	"C2"	NA	NA	2	NA	"ANC"	5
"423"	118	"IRD_012022"	"2"	"AS112"	"L3"	"C2"	NA	NA	2	NA	"ANC"	5
"424"	118	"IRD_012022"	"2"	"AS117"	"L4"	"C2"	NA	NA	2	NA	"D"	5
"425"	118	"IRD_012022"	"2"	"AS142"	"T"	"C2"	NA	NA	2	NA	"ANC"	5
"426"	142	"IRD_012022"	"2"	"AS122"	"L1"	"C2"	NA	NA	2	NA	NA	6
"427"	142	"IRD_012022"	"2"	"AS127"	"L2"	"C2"	NA	NA	2	NA	"D"	6
"428"	142	"IRD_012022"	"2"	"AS132"	"L3"	"C2"	NA	NA	2	NA	"D"	6
"429"	142	"IRD_012022"	"2"	"AS137"	"L4"	"C2"	NA	NA	2	NA	"D"	6
"430"	142	"IRD_012022"	"2"	"AS147"	"T"	"C2"	NA	NA	2	NA	"ANC"	6
"431"	168	"IRD_012022"	"2"	"AS102"	"L1"	"C2"	NA	NA	2	NA	NA	7
"432"	168	"IRD_012022"	"2"	"AS107"	"L2"	"C2"	NA	NA	2	NA	"D"	7
"433"	168	"IRD_012022"	"2"	"AS112"	"L3"	"C2"	NA	NA	2	NA	"D"	7
"434"	168	"IRD_012022"	"2"	"AS117"	"L4"	"C2"	NA	NA	2	NA	"D"	7
"435"	168	"IRD_012022"	"2"	"AS142"	"T"	"C2"	NA	NA	2	NA	"D"	7
"436"	232	"IRD_012022"	"2"	"AS122"	"L1"	"C2"	NA	NA	2	NA	NA	10
"437"	232	"IRD_012022"	"2"	"AS127"	"L2"	"C2"	NA	NA	2	NA	"D"	10
"438"	232	"IRD_012022"	"2"	"AS132"	"L3"	"C2"	NA	NA	2	NA	"D"	10
"439"	232	"IRD_012022"	"2"	"AS137"	"L4"	"C2"	NA	NA	2	NA	"D"	10
"440"	232	"IRD_012022"	"2"	"AS147"	"T"	"C2"	NA	NA	2	NA	"D"	10
"441"	239	"IRD_012022"	"1"	"AS102"	"L1"	"C2"	NA	NA	2	NA	"ANC"	10
"442"	239	"IRD_012022"	"1"	"AS107"	"L2"	"C2"	43	NA	2	NA	"D"	10
"443"	239	"IRD_012022"	"1"	"AS112"	"L3"	"C2"	NA	NA	2	NA	"ANC"	10
"444"	239	"IRD_012022"	"1"	"AS117"	"L4"	"C2"	NA	NA	2	NA	"ANC"	10
"445"	239	"IRD_012022"	"1"	"AS142"	"T"	"C2"	NA	NA	2	NA	"ANC"	10
"446"	239	"IRD_012022"	"2"	"AS122"	"L1"	"C2"	NA	NA	2	NA	NA	10
"447"	239	"IRD_012022"	"2"	"AS127"	"L2"	"C2"	63	NA	2	NA	"D"	10
"448"	239	"IRD_012022"	"2"	"AS132"	"L3"	"C2"	53	NA	2	NA	"D"	10
"449"	239	"IRD_012022"	"2"	"AS137"	"L4"	"C2"	73	NA	2	NA	"D"	10
"450"	239	"IRD_012022"	"2"	"AS147"	"T"	"C2"	33	NA	2	NA	"D"	10
"451"	263	"IRD_012022"	"1"	"AS102"	"L1"	"C2"	43	NA	2	NA	"D"	11
"452"	263	"IRD_012022"	"1"	"AS107"	"L2"	"C2"	58	NA	2	NA	"D"	11
"453"	263	"IRD_012022"	"1"	"AS112"	"L3"	"C2"	43	NA	2	NA	"D"	11
"454"	263	"IRD_012022"	"1"	"AS117"	"L4"	"C2"	NA	NA	2	NA	"ANC"	11
"455"	263	"IRD_012022"	"1"	"AS142"	"T"	"C2"	NA	NA	2	NA	"ANC"	11
"456"	263	"IRD_012022"	"2"	"AS122"	"L1"	"C2"	NA	NA	NA	NA	NA	11
"457"	263	"IRD_012022"	"2"	"AS127"	"L2"	"C2"	82	NA	2	NA	"D"	11
"458"	263	"IRD_012022"	"2"	"AS132"	"L3"	"C2"	64	NA	2	NA	"D"	11
"459"	263	"IRD_012022"	"2"	"AS137"	"L4"	"C2"	85	NA	2	NA	"D"	11
"460"	263	"IRD_012022"	"2"	"AS147"	"T"	"C2"	43	NA	2	NA	"D"	11
"461"	287	"IRD_012022"	"1"	"AS102"	"L1"	"C2"	43	NA	2	NA	"D"	12
"462"	287	"IRD_012022"	"1"	"AS107"	"L2"	"C2"	64	NA	2	NA	"D"	12
"463"	287	"IRD_012022"	"1"	"AS112"	"L3"	"C2"	48	NA	2	NA	"D"	12
"464"	287	"IRD_012022"	"1"	"AS117"	"L4"	"C2"	NA	NA	2	NA	"ANC"	12
"465"	287	"IRD_012022"	"1"	"AS142"	"T"	"C2"	NA	NA	NA	NA	"ANC"	12
"466"	287	"IRD_012022"	"2"	"AS122"	"L1"	"C2"	NA	NA	NA	NA	NA	12
"467"	287	"IRD_012022"	"2"	"AS127"	"L2"	"C2"	92	NA	2	NA	"D"	12
"468"	287	"IRD_012022"	"2"	"AS132"	"L3"	"C2"	77	NA	2	NA	"D"	12
"469"	287	"IRD_012022"	"2"	"AS137"	"L4"	"C2"	98	NA	2	NA	"D"	12
"470"	287	"IRD_012022"	"2"	"AS147"	"T"	"C2"	44	NA	2	NA	"D"	12
"471"	313	"IRD_012022"	"1"	"AS102"	"L1"	"C2"	58	NA	2	1	"D"	13
"472"	313	"IRD_012022"	"1"	"AS107"	"L2"	"C2"	77	NA	2	1	"D"	13
"473"	313	"IRD_012022"	"1"	"AS112"	"L3"	"C2"	63	NA	2	1	"D"	13
"474"	313	"IRD_012022"	"1"	"AS117"	"L4"	"C2"	39	NA	2	1	"D"	13
"475"	313	"IRD_012022"	"1"	"AS142"	"T"	"C2"	NA	NA	NA	1	NA	13
"476"	313	"IRD_012022"	"2"	"AS122"	"L1"	"C2"	NA	NA	NA	1	NA	13
"477"	313	"IRD_012022"	"2"	"AS127"	"L2"	"C2"	103	NA	2	1	"D"	13
"478"	313	"IRD_012022"	"2"	"AS132"	"L3"	"C2"	92	NA	2	1	"D"	13
"479"	313	"IRD_012022"	"2"	"AS137"	"L4"	"C2"	113	NA	2	1	"D"	13
"480"	313	"IRD_012022"	"2"	"AS147"	"T"	"C2"	53	NA	2	1	"D"	13
"481"	335	"IRD_012022"	"1"	"AS102"	"L1"	"C2"	67	NA	2	1	"D"	14
"482"	335	"IRD_012022"	"1"	"AS107"	"L2"	"C2"	88	NA	2	1	"D"	14
"483"	335	"IRD_012022"	"1"	"AS112"	"L3"	"C2"	64	NA	2	1	"D"	14
"484"	335	"IRD_012022"	"1"	"AS117"	"L4"	"C2"	47	NA	2	1	"D"	14
"485"	335	"IRD_012022"	"1"	"AS142"	"T"	"C2"	NA	NA	NA	1	NA	14
"486"	335	"IRD_012022"	"2"	"AS122"	"L1"	"C2"	NA	NA	NA	1	NA	14
"487"	335	"IRD_012022"	"2"	"AS127"	"L2"	"C2"	78	NA	2	1	"D"	14
"488"	335	"IRD_012022"	"2"	"AS132"	"L3"	"C2"	98	NA	2	1	"D"	14
"489"	335	"IRD_012022"	"2"	"AS137"	"L4"	"C2"	98	NA	2	1	"D"	14
"490"	335	"IRD_012022"	"2"	"AS147"	"T"	"C2"	63	NA	2	1	"D"	14
"491"	407	"IRD_012022"	"1"	"AS102"	"L1"	"C2"	79	NA	2	1	"D"	17
"492"	407	"IRD_012022"	"1"	"AS107"	"L2"	"C2"	99	NA	2	1	"D"	17
"493"	407	"IRD_012022"	"1"	"AS112"	"L3"	"C2"	79	NA	2	1	"D"	17
"494"	407	"IRD_012022"	"1"	"AS117"	"L4"	"C2"	62	NA	2	1	"D"	17
"495"	407	"IRD_012022"	"1"	"AS142"	"T"	"C2"	NA	NA	NA	1	NA	17
"496"	407	"IRD_012022"	"2"	"AS122"	"L1"	"C2"	NA	NA	NA	1	NA	17
"497"	407	"IRD_012022"	"2"	"AS127"	"L2"	"C2"	93	NA	2	1	"D"	17
"498"	407	"IRD_012022"	"2"	"AS132"	"L3"	"C2"	96	NA	2	1	"D"	17
"499"	407	"IRD_012022"	"2"	"AS137"	"L4"	"C2"	117	NA	2	1	"D"	17
"500"	407	"IRD_012022"	"2"	"AS147"	"T"	"C2"	72	NA	2	1	"D"	17
"501"	431	"IRD_012022"	"1"	"AS102"	"L1"	"C2"	81	NA	2	1	"D"	18
"502"	431	"IRD_012022"	"1"	"AS107"	"L2"	"C2"	112	NA	2	1	"D"	18
"503"	431	"IRD_012022"	"1"	"AS112"	"L3"	"C2"	80	NA	2	1	"D"	18
"504"	431	"IRD_012022"	"1"	"AS117"	"L4"	"C2"	76	NA	2	1	"D"	18
"505"	431	"IRD_012022"	"1"	"AS142"	"T"	"C2"	NA	NA	NA	1	NA	18
"506"	431	"IRD_012022"	"2"	"AS122"	"L1"	"C2"	NA	NA	NA	1	NA	18
"507"	431	"IRD_012022"	"2"	"AS127"	"L2"	"C2"	93	NA	2	1	"D"	18
"508"	431	"IRD_012022"	"2"	"AS132"	"L3"	"C2"	104	NA	2	1	"D"	18
"509"	431	"IRD_012022"	"2"	"AS137"	"L4"	"C2"	126	NA	2	1	"D"	18
"510"	431	"IRD_012022"	"2"	"AS147"	"T"	"C2"	71	NA	2	1	"D"	18
"511"	456	"IRD_012022"	"1"	"AS102"	"L1"	"C2"	92	NA	2	1	"D"	19
"512"	456	"IRD_012022"	"1"	"AS107"	"L2"	"C2"	121	NA	2	1	"D"	19
"513"	456	"IRD_012022"	"1"	"AS112"	"L3"	"C2"	81	NA	2	3	"D"	19
"514"	456	"IRD_012022"	"1"	"AS117"	"L4"	"C2"	82	NA	2	3	"D"	19
"515"	456	"IRD_012022"	"1"	"AS142"	"T"	"C2"	NA	NA	NA	1	NA	19
"516"	456	"IRD_012022"	"2"	"AS122"	"L1"	"C2"	NA	NA	NA	1	NA	19
"517"	456	"IRD_012022"	"2"	"AS127"	"L2"	"C2"	52	NA	2	3	"D"	19
"518"	456	"IRD_012022"	"2"	"AS132"	"L3"	"C2"	122	NA	2	3	"D"	19
"519"	456	"IRD_012022"	"2"	"AS137"	"L4"	"C2"	134	NA	2	3	"D"	19
"520"	456	"IRD_012022"	"2"	"AS147"	"T"	"C2"	74	NA	2	1	"D"	19
"521"	479	"IRD_012022"	"1"	"AS102"	"L1"	"C2"	99	NA	2	1	"D"	20
"522"	479	"IRD_012022"	"1"	"AS107"	"L2"	"C2"	129	NA	2	1	"D"	20
"523"	479	"IRD_012022"	"1"	"AS112"	"L3"	"C2"	84	NA	2	3	"D"	20
"524"	479	"IRD_012022"	"1"	"AS117"	"L4"	"C2"	91	NA	2	3	"D"	20
"525"	479	"IRD_012022"	"1"	"AS142"	"T"	"C2"	NA	NA	NA	1	NA	20
"526"	479	"IRD_012022"	"2"	"AS122"	"L1"	"C2"	NA	NA	NA	1	NA	20
"527"	479	"IRD_012022"	"2"	"AS127"	"L2"	"C2"	55	NA	2	3	"D"	20
"528"	479	"IRD_012022"	"2"	"AS132"	"L3"	"C2"	116	NA	2	3	"D"	20
"529"	479	"IRD_012022"	"2"	"AS137"	"L4"	"C2"	136	NA	2	3	"D"	20
"530"	479	"IRD_012022"	"2"	"AS147"	"T"	"C2"	75	NA	2	1	"D"	20
"531"	503	"IRD_012022"	"1"	"AS102"	"L1"	"C2"	103	4	2	1	"D"	21
"532"	503	"IRD_012022"	"1"	"AS107"	"L2"	"C2"	133	4	2	1	"D"	21
